0	1	0
1	1	0
1	2	1112.2831
1	3	2827.2654
2	3	2572.68044
3	3	-2267
1	4	1720.4491
2	4	7073.9156
3	4	1153.7603
1	5	1336.3592
2	5	5512.1325
3	5	5266.1325
4	5	18
1	6	961.6395
2	6	4878.5199
3	6	5332.3312
4	6	4487.2478
5	6	-467
1	7	940
2	7	4123.0578
3	7	5606.4401
4	7	5371.5487
5	7	3558.7055
2	8	3924.521
3	8	5159.7124
4	8	7062.4356
5	8	4717.1551
6	8	3101.5242
2	9	3349.038
3	9	5037.7685
4	9	6462.6693
5	9	6257.0713
6	9	4337.4233
2	10	2995.134
3	10	4531.3512
4	10	6497.6306
5	10	6475.0835
6	10	6032.0426
7	10	3643.6724
3	11	4155.3817
4	11	5952.5402
5	11	6927.7323
6	11	6676.4563
7	11	5358.4023
8	11	3162.4372
3	12	3791.5999
4	12	5720.7223
5	12	6631.2237
6	12	7680.1446
7	12	6170.11
8	12	4881.9755
3	13	3507.6307
4	13	5241.4359
5	13	6496.4194
6	13	7469.8495
7	13	7238.8634
8	13	5811.7636
9	13	4297
4	14	4993.8973
5	14	6101.6451
6	14	7520.3198
7	14	7475.6148
8	14	7052.2783
9	14	5285.2091
4	15	4540.9708
5	15	5880.0438
6	15	7100.1696
7	15	7699.4603
8	15	7463.6915
9	15	6497.4597
10	15	4868.7285
4	16	4285.2851
5	16	5507.3535
6	16	6922.0546
7	16	7373.7971
8	16	7976.2072
9	16	6964.049
10	16	6083.1777
5	17	5269.6677
6	17	6558.0262
7	17	7286.2294
8	17	7750.7291
9	17	7542.3284
10	17	6640.4991
11	17	5522.7653
5	18	4976.6306
6	18	6426.1321
7	18	7038.5627
8	18	7767.0981
9	18	7631.6383
10	18	7341.2577
11	18	6202.2176
5	19	4719.6346
6	19	6118.274
7	19	6948.5452
8	19	7566.4952
9	19	7779.0192
10	19	7567.3431
11	19	6937.8864
12	19	5901.4992
5	20	4405.6529
6	20	5961.4356
7	20	6709.1717
8	20	7568.5707
9	20	7720.1351
10	20	8032.2412
11	20	7298.5028
12	20	6728.0252
5	21	4152.5265
6	21	5674
7	21	6609.0159
8	21	7389.3747
9	21	7738.2934
10	21	7971.7136
11	21	7765.5581
12	21	7105.0317
13	21	6297
6	22	5421.0778
7	22	6378.5347
8	22	7364.8722
9	22	7624.2954
10	22	8080.4656
11	22	7915.6624
12	22	7662.7645
13	22	6782
14	22	6044
6	23	5077
7	23	6236.6721
8	23	7163.4856
9	23	7622.3447
